EventName,MovieName,MovieClosedCaption,MovieRating,Location,Location Notes,StartDate,EndDate,Zipcode,Phone,ContactName,ContactEmail,EventUrl,ParkUrl,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Dvorak,Inside Out,Yes,PG,Dvorak Park,NULL,,,60608,(312) 746-5083,Steven Izquierdo,antonio.segura@chicagoparkdistrict.com,,,"1119 W. Cullerton St.
Chicago, IL
(41.855228, -87.653947)",43,33,14920,251,26,8
Movies in the Parks at Kelvyn,Minions,Yes,PG,Kelvyn Park,NULL,,,60639,(312) 742-7547,Raquel Maldonado,,,,"4438 W. Wrightwood Ave.
Chicago, IL
(41.928651, -87.738278)",2,21,22615,439,17,7
Movies in the Parks at Brands,Rookie of the Year,Yes,PG,Brands Park,NULL,,,60618,(773) 478-2414,Teresa Wooldridge,teresa.wooldridge@chicagoparkdistrict.com,,,"3259 N. Elston Ave.
Chicago, IL
(41.940571, -87.699996)",39,22,21538,425,20,2
Movies in the Parks at Humboldt,The Good Dinosaur,Yes,PG,Humboldt Park,Movie showing east of the Humboldt Park Boathouse.,,,60622,(312) 742-7549,Jesus Perez,Jesus.Perez@chicagoparkdistrict.com,,,"1400 N. Sacramento Ave
Chicago, IL
(41.902766, -87.701791)",4,25,21560,301,49,10
Movies in the Parks at Hamlin,Minions,Yes,PG,Hamlin Park,NULL,,,60618,(312) 742-7785 ,Rich Blake,,,,"3035 N. Hoyne Ave.
Chicago, IL
(41.937197, -87.680691)",39,46,21538,616,40,16
Movies in the Parks at McKinley,Minions,Yes,PG,McKinley Park,NULL,,,60609,(312) 747-6527,Vito Mastrandrea,vito.mastrandrea@chicagoparkdistrict.com,,,"2210 W. Pershing Rd.
Chicago, IL
(41.823114, -87.679668)",37,56,14924,719,1,26
Movies in the Parks at Edgebrook,Raiders of the Lost Ark,Yes,PG,Edgebrook Park,NULL,,,60646,(773) 631-7461,Marc Hebert,marc.hebert@chicagoparkdistrict.com,,,"6525 N. Hiawatha Ave.
Chicago, IL
(41.999284, -87.761796)",18,12,22532,782,29,34
Movies in the Parks at Graver,Hotel Transylvania 2,Yes,PG,Graver Park,NULL,,,60643,(312) 747-6163 ,Laura Casey,Laura.Casey@chicagoparkdistrict.com,,,"1518 W. 102nd Pl.
Chicago, IL
(41.707271, -87.660397)",13,71,22212,628,42,33
Movies in the Parks at West Chatham,Terminator Genisys,Yes,PG-13,West Chatham Park,NULL,,,60620,(312) 747-6998,Jeton Elliott,jeton.elliott@chicagoparkdistrict.com,,,"8223 S. Princeton Ave.
Chicago, IL
(41.744279, -87.631731)",59,40,21554,1,13,18
Movies in the Parks at Montgomery Ward,Grease,Yes,PG-13,Ward (Aaron Montgomery) Park,NULL,,,60606,(312) 742-7895,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,,,"630 N. Kingsbury St.
Chicago, IL
(41.892878, -87.640952)",55,37,4446,652,36,22
Movies in the Parks at Chicago History,The American President,Yes,PG-13,Lincoln Park,Movie showing on the patio behind the Chicago History Museum.,,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movies in the Parks at Grant,Cool Hand Luke,Yes,PG,Grant Park,Movie showing northwest of E Balbo Ave. and S. Columbus Dr.,,,60601,(312) 742-3918,Jackie Guthrie   (Daley Bicentennial Park),jacqueline.guthrie@chicagoparkdistrict.com,,,"337 E. Randolph St.
Chicago, IL
(41.884353, -87.620091)",41,38,14309,580,36,22
Movies in the Parks at Kelly,Goosebumps,Yes,PG,Kelly Park,NULL,,,60632,(312) 747-6197,Donald Serio,donald.serio@chicagoparkdistrict.com,,,"2725 W. 41st St.
Chicago, IL
(41.819322, -87.693665)",56,55,22248,641,1,29
Movies in the Parks at Montrose Harbor,Le Chat du Rabbin,No,NR,Lincoln Park,Movie showing northeast of Simonds Dr. and Montrose Ave.,,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movies in the Parks at Mayfair,Minions,N/A,PG,Mayfair Park,NULL,,,60630,(773) 685-3361,Maria McDorman,maria.mcdorman@chicagoparkdistrict.com,,,"4550 W. Sunnyside Ave.
Chicago, IL
(41.962597, -87.7422)",48,16,21869,362,38,20
Movies in the Parks at Clarendon,Insurgent,Yes,PG-13,Clarendon Park Community Center,NULL,,,60640,(312) 742-7512,Michael Brown,michael.brown@chicagoparkdistrict.com,,,"4501 N. Clarendon Ave.
Chicago, IL
(41.963681, -87.649962)",15,31,22616,636,39,37
Movies in the Parks at Harold Washington,Star Wars: The Force Awakens,Yes,PG-13,Harold Washington Playlot Park,Movie showing northeast of S. Hyde Park Blvd. and E. 53rd St.,,,60615,(312) 747-6620 ,Nichols Park (Ayanna Nikki Peters),ayanna.peters@chicagoparkdistrict.com,,,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.800598, -87.584362)",10,8,21192,405,33,1
Movies in the Parks at NPV,The Living Green,Yes,NR,North Park Village Nature Center,NULL,,,60646,(312) 744-5472,Julie Sacco,julie.sacco@chicagoparkdistrict.com,,,"5801 N. Pulaski Rd.
Chicago, IL
(41.986333, -87.728537)",18,13,22532,748,38,28
Movies in the Parks at Lake Shore,Bridge of Spies,N/A,PG-13,Lake Shore Park,NULL,,,60611,(312) 742-7891,Michael Mucci,michael.mucci@chicagoparkdistrict.com,,,"808 N. Lake Shore Dr.
Chicago, IL
(41.897212, -87.617298)",6,37,21182,233,11,22
Movies in the Parks at Rowan,Hocus Pocus,Yes,PG,Rowan Park,NULL,,,60617,(773) 646-3180,Heather Kelly,heather.kelly@chicagoparkdistrict.com,,,"11546 S. Avenue L
Chicago, IL
(41.685148, -87.53645)",25,49,21202,603,47,47
Midweek on the Midway at Midway Plaisance,Pan,N/A,PG-13,Midway Plaisance Park,NULL,,,60637,(312) 745-2470,Rick Shaheen,Rick.Shaheen@chicagoparkdistrict.com,,,"1130 Midway Plaisance North
Chicago, IL",,,,,,
Movies in the Parks at Independence,Star Wars,N/A,N/A,Independence Park,NULL,,,60618,(773) 478-3538,Julie Thompson,,,,"3945 N. Springfield Ave.
Chicago, IL
(41.952657, -87.72507)",39,16,21538,326,50,28
Movies in the Parks at Chase,Little Shop of Horrors,N/A,PG-13,Chase Park,NULL,,,60640,(312) 742-7518,Katie Fearon-Peon,,,,"4701 N. Ashland Ave.
Chicago, IL
(41.967098, -87.669326)",15,31,22616,559,18,13
Movies in the Parks at Eugene Field,The Sandlot,Yes,PG,Field (Eugene) Park,NULL,,,60625,(773) 478-9744,Tracy Brumley,tracy.brumley@chicagoparkdistrict.com,,,"5100 N. Ridgeway Ave.
Chicago, IL
(41.973843, -87.722074)",20,14,21849,127,38,28
Movies in the Parks at Armour Square,The Good Dinosaur,Yes,PG,Armour Square Park,NULL,,,60616,(312) 747-6012,Mary Lu Scorza,marylu.scorza@chicagoparkdistrict.com,,,"3309 S. Shields Ave.
Chicago, IL
(41.834261, -87.635227)",40,35,21194,376,48,26
Movies in the Parks at Shabbona,Inside Out,Yes,PG,Shabbona Park,NULL,,,60634,(773) 685-6205,Laura LeVitus,laura.levitus@chicagoparkdistrict.com,,,"6935 W. Addison St.
Chicago, IL
(41.945407, -87.800259)",52,17,22254,444,19,39
Movies in the Parks at Foster,Star Wars: The Force Awakens,Yes,PG-13,Foster Park,NULL,,,60620,(312) 747-6135,Anita Gueringer,anita.gueringer@chicagoparkdistrict.com,,,"1440 W. 84th St.
Chicago, IL
(41.741345, -87.659988)",59,70,21554,531,13,18
Movies in the Parks at Homan Square,The Karate Kid (2010),Yes,PG,Homan Square Park,NULL,,,60624,(312) 746-6650,Robert Bisbee ,robert.bisbee@chicagoparkdistrict.com,,,"3517 W. Arthington St.
Chicago, IL
(41.870005, -87.713328)",30,28,21572,685,14,36
Movies in the Parks at La Follette,Despicable Me 2,Yes,PG,La Follette Park,NULL,,,60651,(773) 287-0541,Steve Collins ,steve.collins@chicagoparkdistrict.com,,,"1333 N. Laramie Ave.
Chicago, IL
(41.9051, -87.755826)",5,26,4299,600,45,4
Movies in the Parks at Walsh,Star Wars: The Force Awakens,Yes,PG-13,Walsh Playground Park,NULL,,,60614,(312) 742-7769,Vivian Garcia,,,,"1722 N. Ashland Ave.
Chicago, IL
(41.912858, -87.667823)",4,25,21560,437,40,24
Movies in the Parks at Meyering,Spectre,Yes,PG-13,Meyering Playground Park,NULL,,,60619,(312) 747-6545,Solomon Smith,solomon.smith@chicagoparkdistrict.com,,,"7140 S. Martin Luther King Dr.
Chicago, IL
(41.764855, -87.615274)",61,67,21546,474,32,31
Movies in the Parks at Donahue,Inside Out,N/A,PG,Margaret Donahue Park,NULL,,,60657,NULL,Michelle Baldwin   (Sheil Park),,,,"1230 W. School Street
Chicago, IL
(41.941632, -87.660299)",22,57,4449,741,25,38
Movies in the Parks at Holstein,Zootopia,Yes,PG,Holstein Park,NULL,,,60647,(312) 742-7554 ,Shannon English,shannon.english@chicagoparkdistrict.com,,,"2200 N. Oakley Ave.
Chicago, IL
(41.922402, -87.685509)",1,23,22535,324,40,16
Movies in the Parks at Harold Washington,The Great Debaters,Yes,PG-13,Harold Washington Playlot Park,Movie showing northeast of S. Hyde Park Blvd. and E. 53rd St.,,,60615,(312) 747-6620 ,Nichols Park (Ayanna Nikki Peters),ayanna.peters@chicagoparkdistrict.com,,,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.800598, -87.584362)",10,8,21192,405,33,1
Movies in the Parks at Mozart,Hotel Transylvania 2,N/A,PG,Mozart Park,NULL,,,60647,(312) 742-7535,John Yost,john.yost@chicagoparkdistrict.com,,,"2036 N. Avers Ave.
Chicago, IL
(41.918127, -87.722915)",1,23,22535,73,49,10
Movies in the Parks at Hermosa,Una Boda en Castaner (A Wedding in Castaner),No,NR,Hermosa Park,NULL,,,60639,(312) 742-7540 ,Cirilo Gonzalez,cirilo.gonzalez@chicagoparkdistrict.com,,,"2240 N. Kilbourn Ave.
Chicago, IL
(41.921715, -87.738909)",2,21,22615,75,44,7
Movies in the Parks at Jonquil,Jaws,Yes,PG,Jonquil Park,NULL,,,60614,(312) 742-7816 ,Ariel Hernandez  (Wrightwood Park),,,,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34,16
Movies in the Parks at Garfield,Mission Impossible: Rogue Nation,Yes,PG-13,Garfield Park,NULL,,,60624,(312) 746-5092,Jim Hobson,james.hobson@chicagoparkdistrict.com,,,"100 N. Central Park Ave.
Chicago, IL
(41.881566, -87.715877)",30,28,21572,176,23,11
Movies in the Parks at Oz,The Sandlot,Yes,PG,Oz Park,NULL,,,60614,(312) 742-7898,Adele Bach,adele.bach@chicagoparkdistrict.com,,,"2021 N. Burling St.
Chicago, IL
(41.919045, -87.647303)",16,68,21190,798,34,51
Movies in the Parks at Seward,Norm of the North,Yes,PG,Seward Park,NULL,,,60610,(312) 742-7895,Joyce Freeman-Herron,joyce.freeman-herron@chicagoparkdistrict.com,,,"375 W. Elm St.
Chicago, IL
(41.902733, -87.639736)",54,37,14926,148,46,41
Movies in the Parks at Fuller,Hotel Transylvania 2,Yes,PG,Fuller Park,NULL,,,60609,(312) 747-6144,Michael Brown,michael.brown2@chicagoparkdistrict.com,,,"331 W. 45th St
Chicago, IL
(41.812537, -87.633365)",37,3,14924,189,9,12
Movies in the Parks at Ronan,Despicable Me,Yes,PG,Ronan Park,NULL,,,60625,(312) 742-7516,Vera Onate   (River Park),vera.onate@chicagoparkdistrict.com,,,"3000 W. Argyle St.
Chicago, IL
(41.972114, -87.704547)",20,14,21849,749,20,2
